Fold,algorithm,init,max_iter,n_clusters,n_init,random_state,N_Clusters,Ruido_%,Silhouette,Davies_Bouldin,Calinski_Harabasz,Inercia,Min_Cluster_%
5,lloyd,k-means++,300,6,10,42,6,0.0,0.1575,1.8844,339.5497,5234.7331,10.44
1,lloyd,k-means++,300,6,20,42,6,0.0,0.1611,1.8353,334.7225,5226.4935,11.0
2,lloyd,k-means++,300,6,20,42,6,0.0,0.154,1.8719,319.8628,5281.1346,9.37
3,lloyd,k-means++,300,6,20,42,6,0.0,0.1455,1.9397,313.9195,5373.2757,9.58
4,lloyd,k-means++,300,6,20,42,6,0.0,0.1612,1.812,340.259,5202.4079,10.16
5,lloyd,k-means++,300,6,20,42,6,0.0,0.1575,1.8844,339.5497,5234.7331,10.44
1,lloyd,k-means++,500,3,10,42,3,0.0,0.2194,1.586,547.2395,6431.563,30.09
2,lloyd,k-means++,500,3,10,42,3,0.0,0.2105,1.6391,527.1316,6441.8946,30.38
3,lloyd,k-means++,500,3,10,42,3,0.0,0.2115,1.6273,528.3125,6476.6602,29.31
4,lloyd,k-means++,500,3,10,42,3,0.0,0.2166,1.6125,558.9058,6391.1068,29.55
5,lloyd,k-means++,500,3,10,42,3,0.0,0.2216,1.6001,573.9145,6350.0918,31.96
1,lloyd,k-means++,500,3,20,42,3,0.0,0.2194,1.586,547.2395,6431.4727,30.09
2,lloyd,k-means++,500,3,20,42,3,0.0,0.2105,1.6391,527.1316,6441.8113,30.38
3,lloyd,k-means++,500,3,20,42,3,0.0,0.2115,1.6273,528.3125,6476.6602,29.31
4,lloyd,k-means++,500,3,20,42,3,0.0,0.2166,1.6125,558.9058,6391.1068,29.55
5,lloyd,k-means++,500,3,20,42,3,0.0,0.2216,1.6001,573.9145,6350.0918,31.96
1,lloyd,k-means++,500,4,10,42,4,0.0,0.1907,1.611,431.1757,5959.072,14.9
2,lloyd,k-means++,500,4,10,42,4,0.0,0.1862,1.6572,414.0849,5988.2065,13.41
3,lloyd,k-means++,500,4,10,42,4,0.0,0.1802,1.7199,405.7976,6084.8343,13.77
4,lloyd,k-means++,500,4,10,42,4,0.0,0.1761,1.9464,431.2896,5975.7995,18.75
5,lloyd,k-means++,500,4,10,42,4,0.0,0.1967,1.6304,454.5059,5858.5289,14.2
1,lloyd,k-means++,500,4,20,42,4,0.0,0.1907,1.611,431.1757,5959.072,14.9
2,lloyd,k-means++,500,4,20,42,4,0.0,0.1862,1.6572,414.0849,5988.2065,13.41
3,lloyd,k-means++,500,4,20,42,4,0.0,0.1802,1.7199,405.7976,6084.8343,13.77
4,lloyd,k-means++,500,4,20,42,4,0.0,0.1761,1.9464,431.2896,5975.7995,18.75
5,lloyd,k-means++,500,4,20,42,4,0.0,0.1782,1.9417,444.0444,5924.4615,20.45
1,lloyd,k-means++,500,5,10,42,5,0.0,0.163,1.832,376.4325,5528.9556,11.85
2,lloyd,k-means++,500,5,10,42,5,0.0,0.1579,1.8967,360.5972,5571.3589,10.65
3,lloyd,k-means++,500,5,10,42,5,0.0,0.1632,1.8451,357.8251,5630.8089,10.36
4,lloyd,k-means++,500,5,10,42,5,0.0,0.1609,1.8837,377.9452,5533.8745,11.58
5,lloyd,k-means++,500,5,10,42,5,0.0,0.1723,1.8533,384.3306,5515.1857,11.29
1,lloyd,k-means++,500,5,20,42,5,0.0,0.1735,1.7734,375.551,5531.4839,11.78
2,lloyd,k-means++,500,5,20,42,5,0.0,0.1577,1.897,360.4464,5572.0499,10.65
3,lloyd,k-means++,500,5,20,42,5,0.0,0.1633,1.8446,357.9018,5631.0694,10.36
4,lloyd,k-means++,500,5,20,42,5,0.0,0.1609,1.8837,377.9452,5533.8745,11.58
5,lloyd,k-means++,500,5,20,42,5,0.0,0.1732,1.8431,384.2552,5515.0534,10.94
1,lloyd,k-means++,500,6,10,42,6,0.0,0.1611,1.8353,334.7225,5226.4935,11.0
2,lloyd,k-means++,500,6,10,42,6,0.0,0.154,1.8719,319.8628,5280.6486,9.37
3,lloyd,k-means++,500,6,10,42,6,0.0,0.1454,1.9388,313.9272,5372.8688,9.58
4,lloyd,k-means++,500,6,10,42,6,0.0,0.1612,1.812,340.259,5202.4079,10.16
5,lloyd,k-means++,500,6,10,42,6,0.0,0.1575,1.8844,339.5497,5234.7331,10.44
1,lloyd,k-means++,500,6,20,42,6,0.0,0.1611,1.8353,334.7225,5226.4935,11.0
2,lloyd,k-means++,500,6,20,42,6,0.0,0.154,1.8719,319.8628,5281.1346,9.37
3,lloyd,k-means++,500,6,20,42,6,0.0,0.1455,1.9397,313.9195,5373.2757,9.58
4,lloyd,k-means++,500,6,20,42,6,0.0,0.1612,1.812,340.259,5202.4079,10.16
5,lloyd,k-means++,500,6,20,42,6,0.0,0.1575,1.8844,339.5497,5234.7331,10.44
1,lloyd,random,300,3,10,42,3,0.0,0.2194,1.586,547.2395,6431.563,30.09
2,lloyd,random,300,3,10,42,3,0.0,0.2105,1.6391,527.1316,6441.8946,30.38
3,lloyd,random,300,3,10,42,3,0.0,0.2115,1.6281,528.338,6476.7782,29.45
4,lloyd,random,300,3,10,42,3,0.0,0.2166,1.6125,558.9058,6391.0997,29.55
5,lloyd,random,300,3,10,42,3,0.0,0.2217,1.5994,573.9407,6350.0895,31.96
1,lloyd,random,300,3,20,42,3,0.0,0.2194,1.586,547.2395,6431.563,30.09
2,lloyd,random,300,3,20,42,3,0.0,0.2105,1.6391,527.1316,6441.8946,30.38
3,lloyd,random,300,3,20,42,3,0.0,0.2115,1.6273,528.3125,6476.678,29.31
4,lloyd,random,300,3,20,42,3,0.0,0.2166,1.6125,558.9058,6391.0997,29.55
5,lloyd,random,300,3,20,42,3,0.0,0.2217,1.5994,573.9407,6350.0895,31.96
1,lloyd,random,300,4,10,42,4,0.0,0.1907,1.6117,431.2501,5958.1588,14.83
2,lloyd,random,300,4,10,42,4,0.0,0.1862,1.6572,414.0849,5988.2133,13.41
3,lloyd,random,300,4,10,42,4,0.0,0.1802,1.7199,405.7976,6084.8343,13.77
